"Aceptar.diferencia","Participacion","Aula.abierta","Aprendizaje"
"Rechaza uno o más grupos",11,16,16
"Acepta todos los grupos",14,16,21
"Rechaza uno o más grupos",11,10,7
"Rechaza uno o más grupos",15,24,23
"Acepta todos los grupos",11,12,18
"Rechaza uno o más grupos",16,18,23
"Rechaza uno o más grupos",12,17,23
"Rechaza uno o más grupos",NA,NA,NA
"Rechaza uno o más grupos",21,21,27
"Acepta todos los grupos",10,16,24
"Acepta todos los grupos",13,15,18
"Rechaza uno o más grupos",11,24,8
"Rechaza uno o más grupos",20,20,26
"Rechaza uno o más grupos",15,8,NA
"Acepta todos los grupos",16,12,17
"Rechaza uno o más grupos",15,6,9
"Acepta todos los grupos",16,18,24
"Rechaza uno o más grupos",13,17,19
"Acepta todos los grupos",17,22,17
"Rechaza uno o más grupos",NA,22,20
"Rechaza uno o más grupos",18,15,21
"Rechaza uno o más grupos",16,15,21
"Rechaza uno o más grupos",11,14,7
"Rechaza uno o más grupos",13,16,20
"Acepta todos los grupos",14,14,13
"Acepta todos los grupos",NA,NA,NA
"Rechaza uno o más grupos",NA,19,21
"Acepta todos los grupos",19,19,19
"Rechaza uno o más grupos",19,18,28
"Acepta todos los grupos",12,12,16
"Rechaza uno o más grupos",12,16,19
"Acepta todos los grupos",14,16,16
"Rechaza uno o más grupos",9,20,20
"Acepta todos los grupos",14,17,21
"Acepta todos los grupos",13,7,16
"Rechaza uno o más grupos",11,15,26
"Rechaza uno o más grupos",18,20,16
"Rechaza uno o más grupos",13,15,13
"Rechaza uno o más grupos",14,20,20
"Rechaza uno o más grupos",13,18,19
"Rechaza uno o más grupos",13,17,16
"Acepta todos los grupos",9,18,13
"Rechaza uno o más grupos",10,16,15
"Rechaza uno o más grupos",12,14,20
"Rechaza uno o más grupos",14,13,22
"Acepta todos los grupos",12,19,19
"Acepta todos los grupos",12,9,24
"Rechaza uno o más grupos",18,19,20
"Acepta todos los grupos",12,18,21
"Acepta todos los grupos",11,18,13
"Acepta todos los grupos",12,12,10
"Rechaza uno o más grupos",15,17,11
"Acepta todos los grupos",18,24,21
"Rechaza uno o más grupos",16,19,18
"Rechaza uno o más grupos",15,21,16
"Acepta todos los grupos",14,21,26
"Rechaza uno o más grupos",14,14,16
"Rechaza uno o más grupos",15,16,16
"Rechaza uno o más grupos",13,18,12
"Rechaza uno o más grupos",10,13,19
"Rechaza uno o más grupos",11,19,13
"Acepta todos los grupos",12,17,19
"Rechaza uno o más grupos",14,16,21
"Rechaza uno o más grupos",14,21,26
"Rechaza uno o más grupos",NA,16,14
"Rechaza uno o más grupos",NA,12,18
"Rechaza uno o más grupos",11,20,18
"Rechaza uno o más grupos",11,12,13
"Rechaza uno o más grupos",14,22,27
"Rechaza uno o más grupos",9,6,28
"Rechaza uno o más grupos",16,23,22
"Acepta todos los grupos",12,15,26
"Rechaza uno o más grupos",15,24,27
"Rechaza uno o más grupos",16,23,28
"Rechaza uno o más grupos",19,22,19
"Rechaza uno o más grupos",11,18,25
"Rechaza uno o más grupos",17,NA,20
"Rechaza uno o más grupos",15,6,21
"Rechaza uno o más grupos",18,21,26
"Rechaza uno o más grupos",16,24,28
"Rechaza uno o más grupos",14,20,24
"Rechaza uno o más grupos",10,24,28
"Rechaza uno o más grupos",17,24,26
"Rechaza uno o más grupos",13,15,23
"Rechaza uno o más grupos",17,19,26
"Rechaza uno o más grupos",18,22,22
"Rechaza uno o más grupos",12,22,20
"Rechaza uno o más grupos",15,19,26
"Rechaza uno o más grupos",19,23,22
"Rechaza uno o más grupos",15,19,24
"Rechaza uno o más grupos",13,17,20
"Rechaza uno o más grupos",11,18,20
"Rechaza uno o más grupos",14,24,26
"Rechaza uno o más grupos",15,23,28
"Rechaza uno o más grupos",11,22,25
"Rechaza uno o más grupos",15,22,28
"Rechaza uno o más grupos",9,12,21
"Rechaza uno o más grupos",20,17,26
"Rechaza uno o más grupos",16,8,22
"Rechaza uno o más grupos",11,23,24
"Rechaza uno o más grupos",13,16,25
"Rechaza uno o más grupos",10,18,21
"Rechaza uno o más grupos",11,6,16
"Rechaza uno o más grupos",11,NA,NA
"Rechaza uno o más grupos",10,18,15
"Rechaza uno o más grupos",15,NA,20
"Rechaza uno o más grupos",12,20,27
"Rechaza uno o más grupos",13,18,21
"Rechaza uno o más grupos",14,15,20
"Rechaza uno o más grupos",NA,21,28
